"Date","Price","Open","High","Low","Change %"
"Dec 30, 2022","1.335","1.335","1.335","1.335","0.00%"
"Dec 29, 2022","1.335","1.335","1.335","1.335","0.00%"
"Dec 28, 2022","1.335","1.310","1.335","1.310","1.91%"
"Dec 27, 2022","1.310","1.210","1.310","1.210","8.26%"
"Dec 26, 2022","1.210","1.210","1.210","1.210","0.00%"
"Dec 23, 2022","1.210","1.250","1.275","1.210","-3.20%"
"Dec 22, 2022","1.250","1.235","1.250","1.235","1.21%"
"Dec 21, 2022","1.235","1.275","1.275","1.235","-3.14%"
"Dec 20, 2022","1.275","1.215","1.275","1.215","4.94%"
"Dec 19, 2022","1.215","1.215","1.215","1.215","-1.62%"
"Dec 16, 2022","1.235","1.275","1.275","1.235","-3.14%"
"Dec 15, 2022","1.275","1.275","1.275","1.275","0.00%"
"Dec 14, 2022","1.275","1.290","1.290","1.275","-1.16%"
"Dec 13, 2022","1.290","1.295","1.295","1.290","-0.39%"
"Dec 12, 2022","1.295","1.295","1.295","1.295","0.86%"
"Dec 09, 2022","1.284","1.250","1.284","1.250","2.72%"
"Dec 08, 2022","1.250","1.250","1.250","1.250","-1.19%"
"Dec 07, 2022","1.265","1.365","1.365","1.265","-7.33%"
"Dec 06, 2022","1.365","1.355","1.365","1.355","0.74%"
"Dec 05, 2022","1.355","1.355","1.355","1.355","-2.87%"
"Dec 02, 2022","1.395","1.395","1.395","1.395","-4.12%"
"Dec 01, 2022","1.455","1.495","1.495","1.455","-2.68%"
"Nov 30, 2022","1.495","1.475","1.495","1.475","1.36%"
"Nov 29, 2022","1.475","1.475","1.475","1.475","0.00%"
"Nov 28, 2022","1.475","1.485","1.485","1.475","-0.67%"
"Nov 25, 2022","1.485","1.490","1.490","1.485","-0.34%"
"Nov 24, 2022","1.490","1.490","1.490","1.490","-2.30%"
"Nov 23, 2022","1.525","1.575","1.575","1.525","-3.17%"
"Nov 22, 2022","1.575","1.595","1.595","1.575","-1.25%"
"Nov 21, 2022","1.595","1.595","1.595","1.595","-0.62%"
"Nov 18, 2022","1.605","1.605","1.605","1.605","0.63%"
"Nov 17, 2022","1.595","1.595","1.595","1.595","-4.78%"
"Nov 16, 2022","1.675","1.685","1.685","1.675","-0.59%"
"Nov 15, 2022","1.685","1.695","1.695","1.685","-0.59%"
"Nov 14, 2022","1.695","1.695","1.695","1.695","2.42%"
"Nov 11, 2022","1.655","1.775","1.775","1.655","-6.76%"
"Nov 10, 2022","1.775","1.794","1.794","1.775","-1.06%"
"Nov 09, 2022","1.794","1.814","1.814","1.794","-1.10%"
"Nov 08, 2022","1.814","1.805","1.814","1.805","0.50%"
"Nov 07, 2022","1.805","1.794","1.805","1.794","0.61%"
"Nov 04, 2022","1.794","1.794","1.794","1.794","0.50%"
"Nov 03, 2022","1.785","1.785","1.785","1.785","1.71%"
"Nov 02, 2022","1.755","1.755","1.755","1.755","0.00%"
"Nov 01, 2022","1.755","1.755","1.755","1.755","0.00%"
"Oct 31, 2022","1.755","1.755","1.755","1.755","-1.02%"
"Oct 28, 2022","1.773","1.824","1.824","1.773","-2.80%"
"Oct 27, 2022","1.824","1.860","1.860","1.824","-1.94%"
"Oct 26, 2022","1.860","1.900","1.900","1.860","-2.11%"
"Oct 25, 2022","1.900","1.925","1.925","1.900","-1.30%"
"Oct 24, 2022","1.925","1.925","1.925","1.925","0.52%"
"Oct 21, 2022","1.915","1.915","1.915","1.915","4.93%"
"Oct 20, 2022","1.825","1.825","1.825","1.825","0.00%"
"Oct 19, 2022","1.825","1.825","1.825","1.825","2.82%"
"Oct 18, 2022","1.775","1.775","1.775","1.775","0.00%"
"Oct 17, 2022","1.775","1.755","1.775","1.755","1.14%"
"Oct 14, 2022","1.755","1.755","1.755","1.755","-0.57%"
"Oct 13, 2022","1.765","1.765","1.765","1.765","0.00%"
"Oct 12, 2022","1.765","1.735","1.765","1.735","1.73%"
"Oct 11, 2022","1.735","1.705","1.735","1.705","1.76%"
"Oct 10, 2022","1.705","1.705","1.705","1.705","0.00%"
"Oct 07, 2022","1.705","1.705","1.705","1.705","1.79%"
"Oct 06, 2022","1.675","1.675","1.675","1.675","0.60%"
"Oct 05, 2022","1.665","1.675","1.675","1.665","-0.60%"
"Oct 04, 2022","1.675","1.675","1.675","1.675","-1.18%"
"Oct 03, 2022","1.695","1.695","1.695","1.695","0.00%"
"Sep 30, 2022","1.695","1.695","1.695","1.695","2.42%"
"Sep 29, 2022","1.655","1.655","1.655","1.655","-1.19%"
"Sep 28, 2022","1.675","1.665","1.675","1.665","0.60%"
"Sep 27, 2022","1.665","1.475","1.665","1.475","12.88%"
"Sep 26, 2022","1.475","1.402","1.475","1.402","5.21%"
"Sep 23, 2022","1.402","1.395","1.402","1.395","0.50%"
"Sep 22, 2022","1.395","1.395","1.395","1.395","0.00%"
"Sep 21, 2022","1.395","1.395","1.395","1.395","0.00%"
"Sep 20, 2022","1.395","1.395","1.395","1.395","0.00%"
"Sep 19, 2022","1.395","1.395","1.395","1.395","1.45%"
"Sep 16, 2022","1.375","1.345","1.375","1.345","2.23%"
"Sep 15, 2022","1.345","1.335","1.345","1.335","0.75%"
"Sep 14, 2022","1.335","1.305","1.335","1.305","2.30%"
"Sep 13, 2022","1.305","1.305","1.305","1.305","0.00%"
"Sep 12, 2022","1.305","1.305","1.305","1.305","1.56%"
"Sep 09, 2022","1.285","1.285","1.285","1.285","0.00%"
"Sep 08, 2022","1.285","1.285","1.285","1.285","-2.28%"
"Sep 07, 2022","1.315","1.315","1.315","1.315","0.77%"
"Sep 06, 2022","1.305","1.295","1.305","1.295","0.77%"
"Sep 05, 2022","1.295","1.295","1.295","1.295","-2.26%"
"Sep 02, 2022","1.325","1.255","1.325","1.255","5.58%"
"Sep 01, 2022","1.255","1.235","1.255","1.235","1.62%"
"Aug 31, 2022","1.235","1.215","1.235","1.215","1.65%"
"Aug 30, 2022","1.215","1.235","1.235","1.215","-1.62%"
"Aug 29, 2022","1.235","1.195","1.235","1.195","3.35%"
"Aug 26, 2022","1.195","1.195","1.195","1.195","0.00%"
"Aug 25, 2022","1.195","1.195","1.195","1.195","-0.83%"
"Aug 24, 2022","1.205","1.215","1.215","1.205","-0.82%"
"Aug 23, 2022","1.215","1.205","1.215","1.205","0.83%"
"Aug 22, 2022","1.205","1.205","1.205","1.205","1.69%"
"Aug 19, 2022","1.185","1.185","1.185","1.185","0.00%"
"Aug 18, 2022","1.185","1.185","1.185","1.185","0.00%"
"Aug 17, 2022","1.185","1.169","1.185","1.169","1.37%"
"Aug 16, 2022","1.169","1.170","1.170","1.169","-0.09%"
"Aug 15, 2022","1.170","1.170","1.170","1.170","0.60%"
"Aug 12, 2022","1.163","1.163","1.163","1.163","-1.86%"
"Aug 11, 2022","1.185","1.175","1.185","1.175","0.85%"
"Aug 10, 2022","1.175","1.175","1.175","1.175","0.00%"
"Aug 09, 2022","1.175","1.175","1.175","1.175","-3.29%"
"Aug 08, 2022","1.215","1.215","1.215","1.215","5.19%"
"Aug 05, 2022","1.155","1.155","1.155","1.155","0.00%"
"Aug 04, 2022","1.155","1.175","1.175","1.155","-1.70%"
"Aug 03, 2022","1.175","1.155","1.175","1.155","1.73%"
"Aug 02, 2022","1.155","1.135","1.155","1.135","1.76%"
"Aug 01, 2022","1.135","1.135","1.135","1.135","1.79%"
"Jul 29, 2022","1.115","1.145","1.145","1.115","-2.62%"
"Jul 28, 2022","1.145","1.185","1.185","1.145","-3.38%"
"Jul 27, 2022","1.185","1.195","1.195","1.185","-0.84%"
"Jul 26, 2022","1.195","1.215","1.215","1.195","-1.65%"
"Jul 25, 2022","1.215","1.215","1.215","1.215","-0.82%"
"Jul 22, 2022","1.225","1.255","1.255","1.225","-2.39%"
"Jul 21, 2022","1.255","1.245","1.255","1.245","0.80%"
"Jul 20, 2022","1.245","1.255","1.255","1.245","-0.80%"
"Jul 19, 2022","1.255","1.255","1.255","1.255","0.00%"
"Jul 18, 2022","1.255","1.255","1.255","1.255","0.80%"
"Jul 15, 2022","1.245","1.235","1.245","1.235","0.81%"
"Jul 14, 2022","1.235","1.235","1.235","1.235","0.00%"
"Jul 13, 2022","1.235","1.245","1.245","1.235","-0.80%"
"Jul 12, 2022","1.245","1.245","1.245","1.245","0.00%"
"Jul 11, 2022","1.245","1.245","1.245","1.245","5.06%"
"Jul 08, 2022","1.185","1.195","1.195","1.185","-0.84%"
"Jul 07, 2022","1.195","1.145","1.195","1.145","4.37%"
"Jul 06, 2022","1.145","1.255","1.255","1.145","-8.76%"
"Jul 05, 2022","1.255","1.255","1.255","1.255","0.00%"
"Jul 04, 2022","1.255","1.245","1.255","1.245","0.80%"
"Jul 01, 2022","1.245","1.205","1.245","1.205","3.32%"
"Jun 30, 2022","1.205","1.205","1.205","1.205","0.00%"
"Jun 29, 2022","1.205","1.205","1.205","1.205","2.55%"
"Jun 28, 2022","1.175","1.232","1.232","1.175","-4.63%"
"Jun 27, 2022","1.232","1.245","1.245","1.215","-1.04%"
"Jun 24, 2022","1.245","1.215","1.245","1.215","2.47%"
"Jun 23, 2022","1.215","1.205","1.215","1.205","0.83%"
"Jun 22, 2022","1.205","1.235","1.235","1.205","-2.43%"
"Jun 21, 2022","1.235","1.265","1.265","1.235","-2.37%"
"Jun 20, 2022","1.265","1.185","1.265","1.185","6.75%"
"Jun 17, 2022","1.185","1.355","1.355","1.185","-12.55%"
"Jun 16, 2022","1.355","1.365","1.365","1.355","-0.73%"
"Jun 15, 2022","1.365","1.345","1.365","1.345","1.49%"
"Jun 14, 2022","1.345","1.335","1.345","1.335","0.75%"
"Jun 13, 2022","1.335","1.265","1.335","1.265","5.53%"
"Jun 10, 2022","1.265","1.265","1.265","1.265","0.00%"
"Jun 09, 2022","1.265","1.265","1.265","1.265","0.00%"
"Jun 08, 2022","1.265","1.265","1.265","1.265","0.00%"
"Jun 07, 2022","1.265","1.225","1.265","1.225","3.27%"
"Jun 06, 2022","1.225","1.225","1.225","1.225","0.00%"
"Jun 03, 2022","1.225","1.225","1.225","1.225","0.00%"
"Jun 02, 2022","1.225","1.225","1.225","1.225","2.51%"
"Jun 01, 2022","1.195","1.165","1.195","1.165","2.58%"
"May 31, 2022","1.165","1.135","1.165","1.135","2.64%"
"May 30, 2022","1.135","1.105","1.135","1.105","2.71%"
"May 27, 2022","1.105","1.105","1.105","1.105","0.00%"
"May 26, 2022","1.105","1.105","1.105","1.105","0.00%"
"May 25, 2022","1.105","1.185","1.185","1.105","-6.75%"
"May 24, 2022","1.185","1.165","1.185","1.165","1.72%"
"May 23, 2022","1.165","1.165","1.165","1.165","-7.17%"
"May 20, 2022","1.255","1.255","1.255","1.255","-3.09%"
"May 19, 2022","1.295","1.315","1.315","1.295","-1.52%"
"May 18, 2022","1.315","1.365","1.365","1.315","-3.66%"
"May 17, 2022","1.365","1.415","1.415","1.365","-3.53%"
"May 16, 2022","1.415","1.440","1.440","1.415","-1.74%"
"May 13, 2022","1.440","1.385","1.440","1.385","3.97%"
"May 12, 2022","1.385","1.355","1.385","1.355","2.21%"
"May 11, 2022","1.355","1.359","1.359","1.355","-0.26%"
"May 10, 2022","1.359","1.365","1.365","1.359","-2.27%"
"May 09, 2022","1.390","1.390","1.390","1.390","31.13%"
"May 06, 2022","1.060","1.060","1.060","1.060","0.00%"
"May 05, 2022","1.060","1.060","1.060","1.060","0.47%"
"May 04, 2022","1.055","1.055","1.055","1.055","0.00%"
"May 03, 2022","1.055","1.055","1.055","1.055","1.93%"
"May 02, 2022","1.035","1.035","1.035","1.035","0.00%"
"Apr 29, 2022","1.035","1.025","1.035","1.025","0.98%"
"Apr 28, 2022","1.025","1.020","1.025","1.020","0.49%"
"Apr 27, 2022","1.020","1.025","1.025","1.020","-2.86%"
"Apr 26, 2022","1.050","1.050","1.050","1.050","0.48%"
"Apr 25, 2022","1.045","1.045","1.045","1.045","0.48%"
"Apr 22, 2022","1.040","1.040","1.040","1.040","0.48%"
"Apr 21, 2022","1.035","1.035","1.035","1.035","-0.48%"
"Apr 20, 2022","1.040","1.040","1.040","1.040","4.00%"
"Apr 19, 2022","1.000","0.995","1.000","0.995","0.50%"
"Apr 18, 2022","0.995","0.995","0.995","0.995","-0.50%"
"Apr 15, 2022","1.000","1.005","1.005","1.000","-0.50%"
"Apr 14, 2022","1.005","1.005","1.005","1.005","0.00%"
"Apr 13, 2022","1.005","1.030","1.030","1.005","-2.43%"
"Apr 12, 2022","1.030","1.035","1.035","1.030","-0.48%"
"Apr 11, 2022","1.035","1.035","1.035","1.035","1.97%"
"Apr 08, 2022","1.015","1.015","1.015","1.015","0.00%"
"Apr 07, 2022","1.015","0.955","1.015","0.955","6.28%"
"Apr 06, 2022","0.955","0.940","0.955","0.940","1.60%"
"Apr 05, 2022","0.940","0.940","0.940","0.940","0.00%"
"Apr 04, 2022","0.940","0.940","0.940","0.940","0.00%"
"Apr 01, 2022","0.940","0.945","0.945","0.940","-1.57%"
"Mar 31, 2022","0.955","0.945","0.955","0.945","0.00%"
"Mar 30, 2022","0.955","0.970","0.970","0.955","-1.55%"
"Mar 29, 2022","0.970","0.970","0.970","0.970","-0.51%"
"Mar 28, 2022","0.975","0.945","0.975","0.945","3.17%"
"Mar 25, 2022","0.945","0.930","0.945","0.930","1.61%"
"Mar 24, 2022","0.930","0.930","0.930","0.930","2.76%"
"Mar 23, 2022","0.905","0.865","0.905","0.865","4.62%"
"Mar 22, 2022","0.865","0.865","0.865","0.865","2.98%"
"Mar 21, 2022","0.840","0.835","0.840","0.835","0.60%"
"Mar 18, 2022","0.835","0.760","0.835","0.760","9.87%"
"Mar 17, 2022","0.760","0.760","0.760","0.760","0.00%"
"Mar 16, 2022","0.760","0.750","0.760","0.750","1.33%"
"Mar 15, 2022","0.750","0.730","0.750","0.730","2.74%"
"Mar 14, 2022","0.730","0.730","0.730","0.730","0.00%"
"Mar 11, 2022","0.730","0.730","0.730","0.730","0.00%"
"Mar 10, 2022","0.730","0.715","0.730","0.715","2.10%"
"Mar 09, 2022","0.715","0.700","0.715","0.700","2.14%"
"Mar 08, 2022","0.700","0.695","0.700","0.695","0.72%"
"Mar 07, 2022","0.695","0.695","0.695","0.695","-0.71%"
"Mar 04, 2022","0.700","0.705","0.705","0.700","-0.71%"
"Mar 03, 2022","0.705","0.690","0.705","0.690","2.17%"
"Mar 02, 2022","0.690","0.710","0.710","0.690","-2.82%"
"Mar 01, 2022","0.710","0.715","0.715","0.710","-0.70%"
"Feb 28, 2022","0.715","0.715","0.715","0.715","0.00%"
"Feb 25, 2022","0.715","0.700","0.715","0.700","2.14%"
"Feb 24, 2022","0.700","0.720","0.720","0.700","-2.78%"
"Feb 23, 2022","0.720","0.705","0.720","0.705","2.13%"
"Feb 22, 2022","0.705","0.705","0.705","0.705","0.00%"
"Feb 21, 2022","0.705","0.686","0.705","0.686","2.77%"
"Feb 18, 2022","0.686","0.705","0.705","0.686","-2.70%"
"Feb 17, 2022","0.705","0.694","0.705","0.694","1.59%"
"Feb 16, 2022","0.694","0.687","0.694","0.687","-1.56%"
"Feb 15, 2022","0.705","0.705","0.705","0.705","0.00%"
"Feb 14, 2022","0.705","0.725","0.725","0.705","-2.76%"
"Feb 11, 2022","0.725","0.710","0.725","0.710","2.11%"
"Feb 10, 2022","0.710","0.715","0.715","0.710","-0.70%"
"Feb 09, 2022","0.715","0.710","0.715","0.710","0.70%"
"Feb 08, 2022","0.710","0.710","0.710","0.710","0.00%"
"Feb 07, 2022","0.710","0.690","0.710","0.690","2.90%"
"Feb 04, 2022","0.690","0.690","0.690","0.690","0.00%"
"Feb 03, 2022","0.690","0.690","0.690","0.690","0.00%"
"Feb 02, 2022","0.690","0.690","0.690","0.690","0.00%"
"Feb 01, 2022","0.690","0.690","0.690","0.690","0.00%"
"Jan 31, 2022","0.690","0.690","0.690","0.690","0.00%"
"Jan 28, 2022","0.690","0.690","0.690","0.690","0.00%"
"Jan 27, 2022","0.690","0.695","0.695","0.690","-0.72%"
"Jan 26, 2022","0.695","0.695","0.695","0.695","0.00%"
"Jan 25, 2022","0.695","0.685","0.695","0.685","1.46%"
"Jan 24, 2022","0.685","0.700","0.700","0.685","-2.14%"
"Jan 21, 2022","0.700","0.725","0.725","0.700","-3.45%"
"Jan 20, 2022","0.725","0.740","0.740","0.725","-2.03%"
"Jan 19, 2022","0.740","0.730","0.740","0.730","1.37%"
"Jan 18, 2022","0.730","0.715","0.730","0.715","2.10%"
"Jan 17, 2022","0.715","0.730","0.730","0.715","-2.05%"
"Jan 14, 2022","0.730","0.757","0.757","0.730","-3.57%"
"Jan 13, 2022","0.757","0.774","0.774","0.757","-2.20%"
"Jan 12, 2022","0.774","0.774","0.774","0.774","0.00%"
"Jan 11, 2022","0.774","0.841","0.841","0.774","-7.97%"
"Jan 10, 2022","0.841","0.783","0.841","0.783","7.41%"
"Jan 07, 2022","0.783","0.779","0.783","0.779","0.51%"
"Jan 06, 2022","0.779","0.763","0.779","0.763","2.10%"
"Jan 05, 2022","0.763","0.715","0.763","0.715","6.71%"
"Jan 04, 2022","0.715","0.715","0.715","0.715","0.00%"
"Jan 03, 2022","0.715","0.715","0.715","0.715","0.00%"
"Dec 31, 2021","0.715","0.715","0.715","0.715","0.00%"
"Dec 30, 2021","0.715","0.695","0.715","0.695","2.88%"
"Dec 29, 2021","0.695","0.655","0.695","0.655","6.11%"
"Dec 28, 2021","0.655","0.640","0.655","0.640","2.34%"
"Dec 27, 2021","0.640","0.640","0.640","0.640","0.00%"
"Dec 24, 2021","0.640","0.635","0.640","0.635","0.79%"
"Dec 23, 2021","0.635","0.630","0.635","0.630","0.79%"
"Dec 22, 2021","0.630","0.615","0.630","0.615","2.44%"
"Dec 21, 2021","0.615","0.595","0.615","0.595","3.36%"
"Dec 20, 2021","0.595","0.595","0.595","0.595","5.31%"
"Dec 17, 2021","0.565","0.565","0.565","0.565","0.00%"
"Dec 16, 2021","0.565","0.565","0.565","0.565","0.00%"
"Dec 15, 2021","0.565","0.565","0.565","0.565","0.00%"
"Dec 14, 2021","0.565","0.565","0.565","0.565","0.00%"
"Dec 13, 2021","0.565","0.560","0.565","0.560","0.89%"
"Dec 10, 2021","0.560","0.565","0.565","0.560","-0.88%"
"Dec 09, 2021","0.565","0.555","0.565","0.555","1.80%"
"Dec 08, 2021","0.555","0.550","0.555","0.550","0.91%"
"Dec 07, 2021","0.550","0.565","0.565","0.550","-2.65%"
"Dec 06, 2021","0.565","0.590","0.590","0.565","1.80%"
"Dec 03, 2021","0.555","0.550","0.555","0.550","0.91%"
"Dec 02, 2021","0.550","0.545","0.550","0.545","0.92%"
"Dec 01, 2021","0.545","0.550","0.550","0.545","-0.91%"
"Nov 30, 2021","0.550","0.550","0.550","0.550","0.00%"
"Nov 29, 2021","0.550","0.550","0.550","0.550","0.00%"
"Nov 26, 2021","0.550","0.570","0.570","0.550","-3.51%"
"Nov 25, 2021","0.570","0.570","0.570","0.570","0.00%"
"Nov 24, 2021","0.570","0.575","0.575","0.570","-0.87%"
"Nov 23, 2021","0.575","0.560","0.575","0.560","2.68%"
"Nov 22, 2021","0.560","0.570","0.570","0.560","-1.75%"
"Nov 19, 2021","0.570","0.565","0.570","0.565","0.88%"
"Nov 18, 2021","0.565","0.570","0.570","0.565","-0.88%"
"Nov 17, 2021","0.570","0.560","0.570","0.560","1.79%"
"Nov 16, 2021","0.560","0.555","0.560","0.555","0.90%"
"Nov 15, 2021","0.555","0.545","0.555","0.545","1.83%"
"Nov 12, 2021","0.545","0.540","0.545","0.540","0.93%"
"Nov 11, 2021","0.540","0.535","0.540","0.535","0.93%"
"Nov 10, 2021","0.535","0.545","0.545","0.535","-1.83%"
"Nov 09, 2021","0.545","0.525","0.545","0.525","3.81%"
"Nov 08, 2021","0.525","0.530","0.530","0.525","-0.94%"
"Nov 05, 2021","0.530","0.545","0.545","0.530","-2.75%"
"Nov 04, 2021","0.545","0.540","0.545","0.540","0.93%"
"Nov 03, 2021","0.540","0.560","0.560","0.540","-3.57%"
"Nov 02, 2021","0.560","0.555","0.560","0.555","0.90%"
"Nov 01, 2021","0.555","0.540","0.555","0.540","2.78%"
"Oct 29, 2021","0.540","0.550","0.550","0.540","-1.82%"
"Oct 28, 2021","0.550","0.535","0.550","0.535","2.80%"
"Oct 27, 2021","0.535","0.535","0.535","0.535","-1.83%"
"Oct 26, 2021","0.545","0.513","0.545","0.513","6.24%"
"Oct 25, 2021","0.513","0.513","0.513","0.513","0.00%"
"Oct 22, 2021","0.513","0.513","0.513","0.513","0.00%"
"Oct 21, 2021","0.513","0.480","0.513","0.480","6.88%"
"Oct 20, 2021","0.480","0.485","0.485","0.480","-1.03%"
"Oct 19, 2021","0.485","0.495","0.495","0.479","-2.02%"
"Oct 18, 2021","0.495","0.495","0.495","0.495","5.32%"
"Oct 15, 2021","0.470","0.465","0.470","0.465","1.08%"
"Oct 14, 2021","0.465","0.465","0.465","0.465","0.00%"
"Oct 13, 2021","0.465","0.475","0.475","0.465","-2.11%"
"Oct 12, 2021","0.475","0.460","0.475","0.460","3.26%"
"Oct 11, 2021","0.460","0.460","0.460","0.460","0.00%"
"Oct 08, 2021","0.460","0.445","0.460","0.445","3.37%"
"Oct 07, 2021","0.445","0.435","0.445","0.435","2.30%"
"Oct 06, 2021","0.435","0.435","0.435","0.435","1.16%"
"Oct 05, 2021","0.430","0.430","0.430","0.430","0.00%"
"Oct 04, 2021","0.430","0.430","0.430","0.430","-1.15%"
"Oct 01, 2021","0.435","0.440","0.440","0.435","-1.14%"
"Sep 30, 2021","0.440","0.440","0.440","0.440","0.00%"
"Sep 29, 2021","0.440","0.440","0.440","0.440","0.00%"
"Sep 28, 2021","0.440","0.445","0.445","0.440","-1.12%"
"Sep 27, 2021","0.445","0.445","0.445","0.445","7.23%"
"Sep 24, 2021","0.415","0.400","0.415","0.400","3.75%"
"Sep 23, 2021","0.400","0.410","0.410","0.400","-2.44%"
"Sep 22, 2021","0.410","0.410","0.410","0.410","1.23%"
"Sep 21, 2021","0.405","0.405","0.405","0.405","0.00%"
"Sep 20, 2021","0.405","0.405","0.405","0.405","0.00%"
"Sep 17, 2021","0.405","0.405","0.405","0.405","0.00%"
"Sep 16, 2021","0.405","0.405","0.405","0.405","0.00%"
"Sep 15, 2021","0.405","0.415","0.415","0.405","-2.41%"
